benchname,class,runtime
vrf_verify_ct,0,1037346
vrf_verify_ct,0,1090556
vrf_verify_ct,0,1036138
vrf_verify_ct,0,1085097
vrf_verify_ct,0,1037889
vrf_verify_ct,0,1044221
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1035513
vrf_verify_ct,0,1040847
vrf_verify_ct,0,1033638
vrf_verify_ct,0,1040180
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1074180
vrf_verify_ct,0,1054430
vrf_verify_ct,0,1052097
vrf_verify_ct,0,1031846
vrf_verify_ct,0,1039846
vrf_verify_ct,0,1071014
vrf_verify_ct,0,1038555
vrf_verify_ct,0,1036847
vrf_verify_ct,0,1034346
vrf_verify_ct,0,1036805
vrf_verify_ct,0,1043764
vrf_verify_ct,0,1066889
vrf_verify_ct,0,1087097
vrf_verify_ct,0,1045346
vrf_verify_ct,0,1049888
vrf_verify_ct,0,1041346
vrf_verify_ct,0,1037096
vrf_verify_ct,0,1047639
vrf_verify_ct,0,1049014
vrf_verify_ct,0,1042222
vrf_verify_ct,0,1105389
vrf_verify_ct,0,1246766
vrf_verify_ct,0,1072055
vrf_verify_ct,0,1216682
vrf_verify_ct,0,1051305
vrf_verify_ct,0,1035596
vrf_verify_ct,0,1067013
vrf_verify_ct,0,1039930
vrf_verify_ct,0,1038930
vrf_verify_ct,0,1041513
vrf_verify_ct,0,1045346
vrf_verify_ct,0,1034805
vrf_verify_ct,0,1068597
vrf_verify_ct,0,1038388
vrf_verify_ct,0,1039013
vrf_verify_ct,0,1035305
vrf_verify_ct,0,1039055
vrf_verify_ct,0,1042639
vrf_verify_ct,0,1036138
vrf_verify_ct,0,1074805
vrf_verify_ct,0,1061596
vrf_verify_ct,0,1031596
vrf_verify_ct,0,1039388
vrf_verify_ct,0,1039221
vrf_verify_ct,0,1037472
vrf_verify_ct,0,1048805
vrf_verify_ct,0,1038388
vrf_verify_ct,0,1045972
vrf_verify_ct,0,1064263
vrf_verify_ct,0,1036596
vrf_verify_ct,0,1036304
vrf_verify_ct,0,1039847
vrf_verify_ct,0,1053389
vrf_verify_ct,0,1069430
vrf_verify_ct,0,1049514
vrf_verify_ct,0,1048222
vrf_verify_ct,0,1037138
vrf_verify_ct,0,1039305
vrf_verify_ct,0,1041597
vrf_verify_ct,0,1042388
